PRIM_CONTRIBUTORY_CAUSE,POSTED_SPEED_LIMIT,DEVICE_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,CRASH_TYPE,MOST_SEVERE_INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 10,UNKNOWN,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,UNKNOWN,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
NOT APPLICABLE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISTRACTION - FROM INSIDE VEHICLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISREGARDING TRAFFIC SIGNALS,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISREGARDING ROAD MARKINGS,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
EQUIPMENT - VEHICLE CONDITION,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT UNKNOWN,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 40,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 45,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
EXCEEDING AUTHORIZED SPEED LIMIT,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,UNKNOWN,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT UNKNOWN,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT UNKNOWN,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,OTHER,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,-1
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT UNKNOWN,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,PEDALCYCLIST,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 20,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
ROAD ENGINEERING/SURFACE/MARKING DEFECTS,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
